year,month,n_granules,aod_550_mean,date
2003,1,40764,0.14074714925843734,2003-01-01
2003,2,39182,0.22457022405311783,2003-02-01
2003,3,45638,0.11523106655967594,2003-03-01
2003,4,44661,0.1682232575529109,2003-04-01
2003,5,87977,0.09782892917755799,2003-05-01
2003,6,86418,0.11294486124264741,2003-06-01
2003,7,88829,0.06804933276147512,2003-07-01
2003,8,90108,0.0854191031490734,2003-08-01
2003,9,89155,0.1418461459429371,2003-09-01
2003,10,90637,0.19737747751752516,2003-10-01
2003,11,82070,0.14102123246500878,2003-11-01
2003,12,65176,0.14212904867971934,2003-12-01
2004,1,41098,0.18999584433955485,2004-01-01
2004,2,41037,0.20255281988023593,2004-02-01
2004,3,46324,0.1819503071152489,2004-03-01
2004,4,44010,0.09548587870359723,2004-04-01
2004,5,45211,0.09752176580983205,2004-05-01
2004,6,43699,0.09653500726569601,2004-06-01
2004,7,45129,0.06613915007652969,2004-07-01
2004,8,45380,0.09849029413447698,2004-08-01
2004,9,44434,0.13151999522542707,2004-09-01
2004,10,45130,0.16164066613756733,2004-10-01
2004,11,40853,0.19627546518733904,2004-11-01
2004,12,40014,0.1889269223936109,2004-12-01
2005,1,41246,0.19160651428500577,2005-01-01
2005,2,39903,0.18372285713365624,2005-02-01
2005,3,46261,0.165040049843872,2005-03-01
2005,4,44096,0.15416774398099992,2005-04-01
2005,5,45230,0.09718028687914648,2005-05-01
2005,6,43609,0.08004750360653598,2005-06-01
2005,7,44998,0.07132829359882595,2005-07-01
2005,8,45339,0.15307641064588765,2005-08-01
2005,9,44292,0.1930747535775752,2005-09-01
2005,10,45442,0.1648447353338284,2005-10-01
2005,11,40928,0.12404937817587192,2005-11-01
2005,12,39917,0.16411423451419635,2005-12-01
2006,1,41201,0.2968942207695736,2006-01-01
2006,2,40052,0.2098158778455804,2006-02-01
2006,3,46323,0.1311460170976873,2006-03-01
2006,4,44137,0.14707363028109915,2006-04-01
2006,5,45179,0.07467676230759013,2006-05-01
2006,6,42855,0.07987418333300418,2006-06-01
2006,7,44894,0.08195362663653426,2006-07-01
2006,8,44691,0.10086572125373884,2006-08-01
2006,9,44526,0.15471458643579614,2006-09-01
2006,10,45209,0.16223751286281027,2006-10-01
2006,11,40884,0.15432025951580092,2006-11-01
2006,12,40076,0.1924572063254899,2006-12-01
2007,1,41256,0.16927756163679575,2007-01-01
2007,2,40023,0.11609113177849346,2007-02-01
2007,3,46363,0.11792068223705665,2007-03-01
2007,4,44128,0.0985491612543721,2007-04-01
2007,5,45219,0.0786461292096687,2007-05-01
2007,6,43637,0.07751263447874575,2007-06-01
2007,7,45044,0.05630074063267148,2007-07-01
2007,8,45414,0.09362008293218793,2007-08-01
2007,9,44531,0.17929060153875614,2007-09-01
2007,10,45468,0.1832258777946406,2007-10-01
2007,11,40923,0.1448955541154394,2007-11-01
2007,12,39919,0.2024548499669386,2007-12-01
2008,1,81744,0.2702177085644788,2008-01-01
2008,2,77401,0.18627438299069826,2008-02-01
2008,3,85510,0.17140716154052602,2008-03-01
2008,4,54257,0.10930265636777742,2008-04-01
2008,5,45229,0.08674972912458391,2008-05-01
2008,6,43754,0.07584530112514128,2008-06-01
2008,7,45055,0.11503822136891459,2008-07-01
2008,8,45421,0.12449382124788376,2008-08-01
2008,9,44392,0.14157697025161456,2008-09-01
2008,10,45278,0.25814974075514513,2008-10-01
2008,11,40922,0.18091662401554537,2008-11-01
2008,12,38143,0.20332816012821056,2008-12-01
2009,1,41247,0.19092624907120007,2009-01-01
2009,2,39471,0.20230037764401226,2009-02-01
2009,3,46342,0.1806592244516498,2009-03-01
2009,4,44039,0.10946332298087194,2009-04-01
2009,5,45240,0.0700914168903146,2009-05-01
2009,6,43732,0.059648198457875,2009-06-01
2009,7,45087,0.09204844396471255,2009-07-01
2009,8,45205,0.13067196451887356,2009-08-01
2009,9,44285,0.16642938266987656,2009-09-01
2009,10,45203,0.1649204455865908,2009-10-01
2009,11,40913,0.1983531534008453,2009-11-01
2009,12,40160,0.14611747010008344,2009-12-01
2010,1,41152,0.24366923300047957,2010-01-01
2010,2,39970,0.1836177448413813,2010-02-01
2010,3,46249,0.13750977874048864,2010-03-01
2010,4,44018,0.12003936631847484,2010-04-01
2010,5,45248,0.08310815065367579,2010-05-01
2010,6,43530,0.0830260111971373,2010-06-01
